Datetime,MultiplierSum,SignalSum
2023-01-20 11:30:00-05:00,-4.0,-3.0
2023-01-20 12:30:00-05:00,3.0,0.0
2023-01-20 13:30:00-05:00,48.0,17.0
2023-01-20 14:30:00-05:00,62.0,14.0
2023-01-20 15:30:00-05:00,67.0,15.0
2023-01-23 09:30:00-05:00,57.0,10.0
2023-01-23 10:30:00-05:00,66.0,14.0
2023-01-23 11:30:00-05:00,76.0,17.0
2023-01-23 12:30:00-05:00,79.0,18.0
2023-01-23 13:30:00-05:00,67.0,18.0
2023-01-23 14:30:00-05:00,52.0,14.0
2023-01-23 15:30:00-05:00,74.0,19.0
2023-01-24 09:30:00-05:00,61.0,16.0
2023-01-24 10:30:00-05:00,77.0,19.0
2023-01-24 11:30:00-05:00,48.0,14.0
2023-01-24 12:30:00-05:00,49.0,12.0
2023-01-24 13:30:00-05:00,50.0,10.0
2023-01-24 14:30:00-05:00,50.0,14.0
2023-01-24 15:30:00-05:00,56.0,13.0
2023-01-25 09:30:00-05:00,-45.0,-18.0
2023-01-25 10:30:00-05:00,-48.0,3.0
2023-01-25 11:30:00-05:00,-58.0,-5.0
2023-01-25 12:30:00-05:00,-1.0,2.0
2023-01-25 13:30:00-05:00,31.0,11.0
2023-01-25 14:30:00-05:00,52.0,9.0
2023-01-25 15:30:00-05:00,42.0,5.0
2023-01-26 09:30:00-05:00,79.0,19.0
2023-01-26 10:30:00-05:00,63.0,14.0
2023-01-26 11:30:00-05:00,57.0,12.0
2023-01-26 12:30:00-05:00,44.0,5.0
2023-01-26 13:30:00-05:00,60.0,7.0
2023-01-26 14:30:00-05:00,79.0,14.0
2023-01-26 15:30:00-05:00,66.0,11.0
2023-01-27 09:30:00-05:00,66.0,9.0
2023-01-27 10:30:00-05:00,35.0,-1.0
2023-01-27 11:30:00-05:00,26.0,-3.0
2023-01-27 12:30:00-05:00,19.0,-1.0
2023-01-27 13:30:00-05:00,17.0,1.0
2023-01-27 14:30:00-05:00,14.0,-3.0
2023-01-27 15:30:00-05:00,0.0,-1.0
2023-01-30 09:30:00-05:00,-46.0,-10.0
2023-01-30 10:30:00-05:00,-69.0,-16.0
2023-01-30 11:30:00-05:00,-84.0,-18.0
2023-01-30 12:30:00-05:00,-73.0,-17.0
2023-01-30 13:30:00-05:00,-95.0,-24.0
